Gene Name,UniProt ID
TRAPPC3,O43617
FOXG1,P55316
POLR2B,P30876
MYO7A,Q13402
DBH,P09172
NSMCE3,Q96MG7
SRD5A2,P31213
ITGB7,P26010
CD2AP,Q9Y5K6
CSK,P41240
ERC1,Q8IUD2
PRKACG,P22612
CETN2,P41208
PRPH2,P23942
DDX3Y,O15523
PIGY,Q3MUY2
NOXO1,Q8NFA2
CTRB2,Q6GPI1
MORC3,Q14149
OTUD7B,Q6GQQ9
PRKAG2,Q9UGJ0
GJA4,P35212
TAB3,Q8N5C8
ACTN1,P12814
CD33,P20138
SUMO1,P63165
RARA,P10276
PIAS4,Q8N2W9
SLC22A12,Q96S37
L1CAM,P32004
RSAD2,Q8WXG1
GLI1,P08151
NLRP2B,P0DMW2
NUP85,Q9BW27
HNRNPA1,P09651
GDF6,Q6KF10
AKR1A1,P14550
RFX1,P22670
EXT2,Q93063
IFI44,Q8TCB0
FMOD,Q06828
RNF168,Q8IYW5
RECQL,P46063
BLNK,Q8WV28
OTX2,P32243
ARR3,P36575
NUMA1,Q14980
ACTR2,P61160
CUL4B,Q13620
PGA5,P0DJD9
CD248,Q9HCU0
SKP1,P63208
H3C1,P68431
BAD,Q92934
SLC23A1,Q9UHI7
PDE4D,Q08499
ENPP3,O14638
AGFG1,P52594
DPYSL5,Q9BPU6
CASP2,P42575
ASL,P04424
AQP9,O43315
UBE3A,Q05086
AGR2,O95994
ZNF341,Q9BYN7
SOCS2,O14508
DARS1,P14868
ALDH18A1,P54886
TMEM43,Q9BTV4
POLD3,Q15054
POLR2C,P19387
NCKAP1,Q9Y2A7
ELP4,Q96EB1
PRSS23,O95084
XKR8,Q9H6D3
SLC2A4,P14672
P3H1,Q32P28
GNAT2,P19087
PDE6C,P51160
LRAT,O95237
CELSR1,Q9NYQ6
SLC27A5,Q9Y2P5
INTU,Q9ULD6
FBN3,Q75N90
IMPG2,Q9BZV3
FAAP24,Q9BTP7
RBX1,P62877
GALK1,P51570
DEFB104A,Q8WTQ1
DBT,P11182
ADAMDEC1,O15204
FBL,P22087
OPLAH,O14841
BLM,P54132
ADAMTSL2,Q86TH1
APOA2,P02652
CFL1,P23528
UBE2D1,P51668
SLC39A7,Q92504
SHOC2,Q9UQ13
DCTN4,Q9UJW0
ARMC5,Q96C12
CLCA4,Q14CN2
SLC24A5,Q71RS6
PMS2,P54278
SNRPN,P63162
HLA-DRB5,Q30154
GPX8,Q8TED1
RPS27,P42677
RPS12,P25398
RPL6,Q02878
UBE2D2,P62837
ABCA12,Q86UK0
KHSRP,Q92945
MUSK,O15146
COL4A6,Q14031
PIK3AP1,Q6ZUJ8
DOCK7,Q96N67
SIGMAR1,Q99720
GNB2,P62879
SCN4A,P35499
PHB2,Q99623
MT-CO1,P00395
FABP12,A6NFH5
PSMA7,O14818
IDH2,P48735
FEN1,P39748
KLK11,Q9UBX7
PAX3,P23760
ROS1,P08922
MAN2B1,O00754
PRKAR1B,P31321
FAN1,Q9Y2M0
HMGA1,P17096
UNC119,Q13432
DNTT,P04053
HLA-F,P30511
HPSE2,Q8WWQ2
BCL2L11,O43521
SMAD6,O43541
ERCC5,P28715
BARD1,Q99728
PROK1,P58294
SMOX,Q9NWM0
COG2,Q14746
CCKAR,P32238
RPLP0,P05388
NRTN,Q99748
LRMDA,Q9H2I8
SEPTIN9,Q9UHD8
BCKDHA,P12694
AMFR,Q9UKV5
MMP26,Q9NRE1
MEF2C,Q06413
UCN3,Q969E3
HSPA6,P17066
MT-CYB,P00156
RPA1,P27694
GPX5,O75715
GPX6,P59796
YBX3,P16989
TINAGL1,Q9GZM7
LGI1,O95970
BID,P55957
PIK3R2,O00459
RSL1D1,O76021
CTRB1,P17538
TRAF7,Q6Q0C0
TAGLN2,P37802
MYLK3,Q32MK0
CCP110,O43303
KRT15,P19012
ARMS2,P0C7Q2
LCE3C,Q5T5A8
LRRC32,Q14392
SKP2,Q13309
IMPDH2,P12268
SSTR1,P30872
GLUD1,P00367
NUP98,P52948
GDPD2,Q9HCC8
OR1E1,P30953
ELOVL4,Q9GZR5
IFI27,P40305
TAT,P17735
SERPINB9,P50453
BUD23,O43709
PERP,Q96FX8
MAP4,P27816
CLEC16A,Q2KHT3
PALB2,Q86YC2
RNF186,Q9NXI6
PROX1,Q92786
MYO18A,Q92614
UBASH3B,Q8TF42
NUPR1,O60356
ARF4,P18085
PIK3C3,Q8NEB9
MT-RNR1,A0A0C5B5G6
UACA,Q9BZF9
AGL,P35573
FKBP10,Q96AY3
PRRT2,Q7Z6L0
FYCO1,Q9BQS8
PGC,P20142
SLC4A4,Q9Y6R1
CALM1,P0DP23
SDHD,O14521
ADGRG6,Q86SQ4
MT-ATP8,P03928
PHKG2,P15735
LZTR1,Q8N653
HOXB13,Q92826
ADAMTS9,Q9P2N4
THAP11,Q96EK4
SLC26A1,Q9H2B4
MIP,P30301
GNA14,O95837
ADGRB3,O60242
PYDC2,Q56P42
ERF,P50548
MAP3K11,Q16584
PSMB10,P40306
CFAP410,O43822
MAT1A,Q00266
ZFR,Q96KR1
MSMO1,Q15800
PEX5,P50542
ARX,Q96QS3
PEX14,O75381
PEX7,O00628
PEX3,P56589
PEX10,O60683
PEX26,Q7Z412
PEX11B,O96011
PEX13,Q92968
PEX12,O00623
PEX16,Q9Y5Y5
BLOC1S3,Q6QNY0
BLOC1S5,Q8TDH9
PCK2,Q16822
ALOX15B,O15296
IER3,P46695
SEPTIN2,Q15019
OMP,P47874
IFNA5,P01569
RPS9,P46781
ARNT,P27540
ERCC6,Q03468
HLA-DQA2,P01906
SLC22A2,O15244
DVL3,Q92997
GRIA1,P42261
RBM14,Q96PK6
MAP1LC3B,Q9GZQ8
TAGAP,Q8N103
CYP11B1,P15538
KPNB1,Q14974
SLC6A5,Q9Y345
TRIM28,Q13263
SLC16A1,P53985
RARS1,P54136
CTSA,P10619
SSRP1,Q08945
PKP1,Q13835
GP1BB,P13224
TTC4,O95801
PJVK,Q0ZLH3
CD96,P40200
BRI3,O95415
DCXR,Q7Z4W1
DECR2,Q9NUI1
MYOM3,Q5VTT5
GMDS,O60547
TRIO,O75962
PABPC4,Q13310
HNRNPL,P14866
DDX21,Q9NR30
NOP58,Q9Y2X3
YARS2,Q9Y2Z4
CENPB,P07199
HBA2,P69905
CLTC,Q00610
DSC1,Q08554
CDK20,Q8IZL9
CHST2,Q9Y4C5
RNASE1,P07998
GH2,P01242
YARS1,P54577
H3-5,Q6NXT2
H3-7,Q5TEC6
CYP8B1,Q9UNU6
PPM1D,O15297
DIABLO,Q9NR28
NCOR2,Q9Y618
RANGAP1,P46060
YWHAE,P62258
RARG,P13631
XRCC6,P12956
CELA3B,P08861
AP3M1,Q9Y2T2
DCAF1,Q9Y4B6
POLR3F,Q9H1D9
DDX18,Q9NVP1
DNAJB1,P25685
EGR3,Q06889
PLXND1,Q9Y4D7
KRT13,P13646
AP1B1,Q10567
MT-ND5,P03915
BTG2,P78543
MGAM,O43451
TIAM1,Q13009
SGCB,Q16585
LRP6,O75581
UBE2N,P61088
CD79B,P40259
AXIN2,Q9Y2T1
SPR,P35270
BRIP1,Q9BX63
PTPRZ1,P23471
SORL1,Q92673
TRRAP,Q9Y4A5
CRB1,P82279
MMAA,Q8IVH4
USP11,P51784
EIF4EBP1,Q13541
IFNA16,P05015
MYOG,P15173
CALM2,P0DP24
UBA52,P62987
FFAR1,O14842
KIF5B,P33176
EIF3A,Q14152
KIF2A,O00139
CCT3,P49368
SBF1,O95248
SPTBN2,O15020
WASL,O00401
BAIAP2,Q9UQB8
CCT2,P78371
SLC25A6,P12236
CCT4,P50991
PRPF6,O94906
RAB8B,Q92930
CEP170,Q5SW79
CEP78,Q5JTW2
UGT1A6,P19224
ATP5F1A,P25705
RPS6,P62753
MGMT,P16455
IGFBP7,Q16270
AMY2A,P04746
RAMP1,O60894
KIF22,Q14807
MORC2,Q9Y6X9
FTCD,O95954
CCNA2,P20248
IK,Q13123
MPRIP,Q6WCQ1
PNPT1,Q8TCS8
LTBP3,Q9NS15
WRAP53,Q9BUR4
U2AF1,Q01081
CSNK1A1,P48729
SPEF2,Q9C093
CALU,O43852
CD3D,P04234
HGFAC,Q04756
EEF1D,P29692
PLCB1,Q9NQ66
EFNB2,P52799
CDC37,Q16543
IFNA14,P01570
ERCC1,P07992
GK,P32189
PSMD9,O00233
FDXR,P22570
NLRP5,P59047
DZIP1L,Q8IYY4
GSDMA,Q96QA5
AATF,Q9NY61
SRSF2,Q01130
ARFRP1,Q13795
VKORC1,Q9BQB6
RBFOX3,A6NFN3
HNRNPU,Q00839
LPAR3,Q9UBY5
TXLNA,P40222
PHF6,Q8IWS0
PC,P11498
PPP1CB,P62140
EMD,P50402
PPP1CC,P36873
AP3S2,P59780
PDHA1,P08559
MCCC1,Q96RQ3
WDR5,P61964
CPD,O75976
FUT8,Q9BYC5
FAF1,Q9UNN5
HCFC1,P51610
ABHD5,Q8WTS1
PREX2,Q70Z35
PADI3,Q9ULW8
PRSS21,Q9Y6M0
INCENP,Q9NQS7
THAP1,Q9NVV9
WNK2,Q9Y3S1
RNF217,Q8TC41
WT1-AS,Q06250
AFDN-DT,Q9Y6Z5
ANKFY1,Q9P2R3
HTR1B,P28222
GSTA1,P08263
SP110,Q9HB58
ERVFRD-1,P60508
MYO9B,Q13459
DEFA6,Q01524
PSPH,P78330
ATAD1,Q8NBU5
PGAM5,Q96HS1
ADAMTS7,Q9UKP4
TASP1,Q9H6P5
IDO2,Q6ZQW0
MCM5,P33992
DAXX,Q9UER7
RPL4,P36578
H1-0,P07305
TPM4,P67936
EPB41L4B,Q9H329
TMEM45B,Q96B21
NUP107,P57740
GPR151,Q8TDV0
RHBDF1,Q96CC6
ECI2,O75521
MIA2,Q96PC5
DYNC2I2,Q96EX3
ZFP91,Q96JP5
PRKCI,P41743
AVEN,Q9NQS1
COG5,Q9UP83
PPOX,P50336
PYGM,P11217
KSR2,Q6VAB6
GNL3,Q9BVP2
CAPZA2,P47755
CAPZB,P47756
CLDN4,O14493
DSC3,Q14574
COX4I1,P13073
SYNRG,Q9UMZ2
LAPTM4A,Q15012
NDUFS4,O43181
ERCC8,Q13216
EXPH5,Q8NEV8
FAM20A,Q96MK3
PCMT1,P22061
NAT10,Q9H0A0
G3BP2,Q9UN86
ZC3HAV1,Q7Z2W4
EGR2,P11161
CD63,P08962
SLC6A9,P48067
GMPPB,Q9Y5P6
SPATA18,Q8TC71
NOSIP,Q9Y314
CLEC4M,Q9H2X3
GP5,P40197
CORT,O00230
MYL9,P24844
TNIP3,Q96KP6
TFB1M,Q8WVM0
DYNC1H1,Q14204
LLGL2,Q6P1M3
CDHR3,Q6ZTQ4
CYP2C8,P10632
ACACA,Q13085
VPS13A,Q96RL7
AKAP13,Q12802
ARHGAP35,Q9NRY4
RASGRP2,Q7LDG7
HDLBP,Q00341
CA6,P23280
RS1,O15537
LASP1,Q14847
MCM3,P25205
MCM7,P33993
HBD,P02042
SF3B3,Q15393
UHRF1,Q96T88
USP4,Q13107
LARP1,Q6PKG0
SRP14,P37108
NGDN,Q8NEJ9
SRY,Q05066
NEB,P20929
ADCY6,O43306
HELLS,Q9NRZ9
PSMC6,P62333
DENND2B,P78524
DES,P17661
XPA,P23025
EIF4A1,P60842
FABP6,P51161
BCKDHB,P21953
HIC2,Q96JB3
OXA1L,Q15070
BCOR,Q6W2J9
EXOSC3,Q9NQT5
SUMO4,Q6EEV6
PRKCH,P24723
H1-2,P16403
CSTB,P04080
NEGR1,Q7Z3B1
LMNB2,Q03252
GYPC,P04921
IFTAP,Q86VG3
KCNK2,O95069
MAPK12,P53778
UBA6,A0AVT1
FCRL3,Q96P31
GIGYF2,Q6Y7W6
CAPZA1,P52907
TAF2,Q6P1X5
FXR2,P51116
BCAS3,Q9H6U6
NOL6,Q9H6R4
RPL36AL,Q969Q0
MPHOSPH10,O00566
OTUD1,Q5VV17
SCN10A,Q9Y5Y9
RUVBL1,Q9Y265
SRRM2,Q9UQ35
CDIPT,O14735
TSPAN7,P41732
POLD1,P28340
ANKRD26,Q9UPS8
ARVCF,O00192
HDC,P19113
REEP1,Q9H902
DLST,P36957
NDE1,Q9NXR1
PPP2R2B,Q00005
LAT,O43561
CHD4,Q14839
ZYX,Q15942
SART1,O43290
FUT4,P22083
TRAF5,O00463
USH2A,O75445
LDHB,P07195
COL10A1,Q03692
TCOF1,Q13428
MOCS2,O96033
TUBB4A,P04350
LARS1,Q9P2J5
EIF2B1,Q14232
BICD2,Q8TD16
UPF3B,Q9BZI7
CEP43,O95684
RNASET2,O00584
CCAR1,Q8IX12
INF2,Q27J81
IQGAP1,P46940
FCN1,O00602
MYO1B,O43795
KPNA1,P52294
H6PD,O95479
STAP2,Q9UGK3
IGFLR1,Q9H665
ATP8A1,Q9Y2Q0
DR1,Q01658
EWSR1,Q01844
EIF4B,P23588
CSRP1,P21291
MPP1,Q00013
CALCB,P10092
HNRNPA3,P51991
RPS8,P62241
GRWD1,Q9BQ67
KAT2B,Q92831
HHIP,Q96QV1
STT3A,P46977
KIF12,Q96FN5
TBL1X,O60907
FNIP1,Q8TF40
PLA2G2F,Q9BZM2
CELA1,Q9UNI1
ADSL,P30566
NNT,Q13423
SPART,Q8N0X7
ATXN10,Q9UBB4
BCAR1,P56945
ADD1,P35611
HGD,Q93099
FKBP1A,P62942
EPHA1,P21709
MINK1,Q8N4C8
MT-ND6,P03923
BLVRA,P53004
IPO7,O95373
SERPINB13,Q9UIV8
DDX5,P17844
PGM1,P36871
MAP3K20,Q9NYL2
TNRC6B,Q9UPQ9
PRKAR1A,P10644
UBE2Z,Q9H832
UBE2A,P49459
IFNA13,P01562
RPS14,P62263
RPS23,P62266
EIF2S2,P20042
EIF5B,O60841
BRD9,Q9H8M2
LIMA1,Q9UHB6
NKRF,O15226
RTCB,Q9Y3I0
BASP1,P80723
RPL24,P83731
MYL12B,O14950
RALY,Q9UKM9
RBMS2,Q15434
SRP9,P49458
CAAP1,Q9H8G2
ALDH6A1,Q02252
DOCK1,Q14185
ATP13A2,Q9NQ11
CHN1,P15882
ACSF3,Q4G176
KCNT1,Q5JUK3
MMAB,Q96EY8
PHKB,Q93100
RAD51C,O43502
DNAJC6,O75061
MMADHC,Q9H3L0
SGCE,O43556
CACNA2D4,Q7Z3S7
PLS3,P13797
SPRED1,Q7Z699
ELMO2,Q96JJ3
RAD51D,O75771
LIPT1,Q9Y234
MCEE,Q96PE7
RTN4IP1,Q8WWV3
PSD,A5PKW4
WDR37,Q9Y2I8
CDCA7L,Q96GN5
KIFBP,Q96EK5
MAB21L2,Q9Y586
RMND1,Q9NWS8
RNF43,Q68DV7
SALL2,Q9Y467
SEMA3D,O95025
UFC1,Q9Y3C8
HGSNAT,Q68CP4
ZHX2,Q9Y6X8
C12orf57,Q99622
TTC14,Q96N46
EPS8L3,Q8TE67
DMTF1,Q9Y222
PTPRQ,Q9UMZ3
RBM48,Q5RL73
FAM186B,Q8IYM0
GPR78,Q96P69
MITD1,Q8WV92
DOP1A,Q5JWR5
RLIG1,Q8N999
ZNF319,Q9P2F9
NR2C2AP,Q86WQ0
ZMAT1,Q5H9K5
AKR7L,Q8NHP1
RNF32-DT,Q8NI28
TDRG1,Q3Y452
LINC00052,Q96N35
ERVH48-1,M5A8F1
TMEM238L,A6NJY4
SMIM31,A0A1B0GVY4
POLGARF,A0A3B3IS91
ABCD2,Q9UBJ2
CUL3,Q13618
WNK1,Q9H4A3
TNMD,Q9H2S6
PPL,O60437
STEEP1,Q9H5V9
CSN3,P07498
ABCF3,Q9NUQ8
SRD5A1,P18405
BICC1,Q9H694
HSD3B1,P14060
GPD2,P43304
PSMA4,P25789
CNBP,P62633
TECR,Q9NZ01
PSMB3,P49720
OTUD4,Q01804
SPECC1,Q5M775
CYFIP2,Q96F07
CALB1,P05937
ISL1,P61371
FMO3,P31513
VSX1,Q9NZR4
GRIP1,Q9Y3R0
ANXA4,P09525
C2CD4C,Q8TF44
PKN1,Q16512
UQCRC2,P22695
RACGAP1,Q9H0H5
PTPN13,Q12923
RPL35,P42766
H1-4,P10412
RPL19,P84098
RPL27,P61353
RPS7,P62081
MPG,P29372
RPL7A,P62424
RPS13,P62277
RPS29,P62273
AP2A1,O95782
CSDE1,O75534
DDX10,Q13206
RPL17,P18621
RPL23A,P62750
RPL29,P47914
RPL8,P62917
RPS11,P62280
RPS28,P62857
RPS5,P46782
SPECC1L,Q69YQ0
BCLAF1,Q9NYF8
POLR1B,Q9H9Y6
RPS2,P15880
ARPC4,P59998
BMP2K,Q9NSY1
CLINT1,Q14677
DHX8,Q14562
LMO7,Q8WWI1
PRC1,O43663
RBM17,Q96I25
RPL28,P46779
RPL30,P62888
RPL36,Q9Y3U8
RPS3A,P61247
CEBPZ,Q03701
HMGN2,P05204
HNRNPA0,Q13151
HNRNPAB,Q99729
LAS1L,Q9Y4W2
RPL38,P63173
RPS18,P62269
SF3A2,Q15428
YTHDF2,Q9Y5A9
DHX37,Q8IY37
RPL37A,P61513
DHX35,Q9H5Z1
HP1BP3,Q5SSJ5
RPL22L1,Q6P5R6
RPS27L,Q71UM5
THRAP3,Q9Y2W1
ABT1,Q9ULW3
DCAF13,Q9NV06
DDX55,Q8NHQ9
LARP4,Q71RC2
LSG1,Q9H089
NUFIP2,Q7Z417
PLRG1,O43660
UTP14A,Q9BVJ6
LRRC59,Q96AG4
EBNA1BP2,Q99848
ERH,P84090
LUZP1,Q86V48
RPL39,P62891
TADA2B,Q86TJ2
H2BC12,O60814
NIFK,Q9BYG3
EPB41L5,Q9HCM4
SPOUT1,Q5T280
GPATCH4,Q5T3I0
RPL26L1,Q9UNX3
FAM98A,Q8NCA5
H1-10,Q92522
H2AC7,P20671
IGKV2D-29,A0A075B6S2
RICTOR,Q6R327
IGBP1,P78318
CELSR2,Q9HCU4
TUBA1B,P68363
PAWR,Q96IZ0
RBM4,Q9BWF3
RAPGEF3,O95398
SPHK2,Q9NRA0
UGT2B17,O75795
DCT,P40126
P2RX2,Q9UBL9
CFHR5,Q9BXR6
SLC26A2,P50443
CKAP5,Q14008
PRPS2,P11908
DAZAP1,Q96EP5
RBM28,Q9NW13
PHAF1,Q9BSU1
SCO2,O43819
TOP2B,Q02880
PRKD2,Q9BZL6
ARF6,P62330
ELP1,O95163
GPC1,P35052
ECT2,Q9H8V3
PPA1,Q15181
USP9X,Q93008
CLEC11A,Q9Y240
TAOK1,Q7L7X3
ANAPC1,Q9H1A4
ADH7,P40394
CPB1,P15086
PAH,P00439
SUOX,P51687
MCCC2,Q9HCC0
RPN1,P04843
FANCM,Q8IYD8
POLR1D,P0DPB6
RPS10,P46783
RPS24,P62847
PDLIM7,Q9NR12
LLGL1,Q15334
ZC3H14,Q6PJT7
PAF1,Q8N7H5
NOP53,Q9NZM5
DHFR2,Q86XF0
MED30,Q96HR3
EPPK1,P58107
MRPL57,Q9BQC6
BNC2,Q6ZN30
C1D,Q13901
MBTPS1,Q14703
UBAP2L,Q14157
SEC31A,O94979
STK10,O94804
DAO,P14920
KLRC2,P26717
TRPM4,Q8TD43
APEH,P13798
UPK3A,O75631
CAMK2B,Q13554
SLC15A4,Q8N697
FOLR1,P15328
H2AX,P16104
CPQ,Q9Y646
RFX7,Q2KHR2
RAB6A,P20340
IARS2,Q9NSE4
COQ8B,Q96D53
PPP1R12C,Q9BZL4
SATB2,Q9UPW6
CALM3,P0DP25
EEF2,P13639
CCDC6,Q16204
SERPINB12,Q96P63
TIA1,P31483
TRIP12,Q14669
EIF3D,O15371
JPH2,Q9BR39
CLEC12B,Q2HXU8
NOCT,Q9UK39
ARMH4,Q86TY3
CRYGD,P07320
CRYBB1,P53674
TRPV6,Q9H1D0
SMOC2,Q9H3U7
SRGN,P10124
LONP1,P36776
NDUFS8,O00217
GPD1,P21695
RRP7A,Q9Y3A4
ATP8B3,O60423
CAVIN2,O95810
WNT1,P04628
CACNA1A,O00555
MYOF,Q9NZM1
CHID1,Q9BWS9
RLN2,P04090
CARS1,P49589
ELOB,Q15370
PRTFDC1,Q9NRG1
ARHGAP45,Q92619
C2orf69,Q8N8R5
PDE6A,P16499
WARS1,P23381
SERAC1,Q96JX3
WNT2,P09544
PPP1R14A,Q96A00
GIMAP5,Q96F15
TNFAIP8L3,Q5GJ75
PRLR,P16471
NEDD4,P46934
CCNB1,P14635
SLC25A3,Q00325
PCSK7,Q16549
TRA2B,P62995
SRSF3,P84103
PIGN,O95427
DDX17,Q92841
NEUROG1,Q92886
CPSF6,Q16630
ATAD5,Q96QE3
OCM2,P0CE71
ABCC11,Q96J66
RCC2,Q9P258
VMP1,Q96GC9
MTSS1,O43312
DIO2,Q92813
ROM1,Q03395
CEP131,Q9UPN4
GJA8,P48165
CPAMD8,Q8IZJ3
TMTC2,Q8N394
USH1C,Q9Y6N9
MYBPC3,Q14896
GJA3,Q9Y6H8
SNAI2,O43623
TMPO,P42166
ABCC9,O60706
MATN2,O00339
SPAST,Q9UBP0
LMO2,P25791
NHS,Q6T4R5
UCP1,P25874
ANK1,P16157
MAP2K7,O14733
RAD51,Q06609
PSMD2,Q13200
VDAC2,P45880
PUF60,Q9UHX1
PALLD,Q8WX93
BAG6,P46379
CTRL,P40313
ZRSR2,Q15696
IGSF6,O95976
CALML4,Q96GE6
ASB6,Q9NWX5
GALR1,P47211
CCL16,O15467
SMARCA2,P51531
IFT122,Q9HBG6
KIAA0586,Q9BVV6
YES1,P07947
CYP3A43,Q9HB55
PPP2CB,P62714
FAU,P62861
H3C14,Q71DI3
CGB5,P0DN86
ARHGAP24,Q8N264
SHOX,O15266
ITFG1,Q8TB96
RP1L1,Q8IWN7
CNOT1,A5YKK6
FCER1G,P30273
ARHGEF3,Q9NR81
HMBS,P08397
ARIH2,O95376
IFIT3,O14879
RNF113A,O15541
NFS1,Q9Y697
CARD6,Q9BX69
USP13,Q92995
ACVR2B,Q13705
MUS81,Q96NY9
ACAT1,P24752
CBR1,P16152
DYNC1I2,Q13409
PLIN3,O60664
RPLP1,P05386
EDC4,Q6P2E9
XRN1,Q8IZH2
RAB13,P51153
KCTD10,Q9H3F6
RPL7L1,Q6DKI1
CAV2,P51636
TMSB10,P63313
CNOT8,Q9UFF9
CCN5,O76076
MUC12,Q9UKN1
PPP2R2A,P63151
LPCAT2,Q7L5N7
MARCO,Q9UEW3
MECOM,Q03112
ERBIN,Q96RT1
EXOC6,Q8TAG9
FBF1,Q8TES7
RGMA,Q96B86
GPR83,Q9NYM4
SIAH1,Q8IUQ4
CSNK2B,P67870
CACNA1B,Q00975
ATRX,P46100
HM13,Q8TCT9
IFT88,Q13099
KMT2D,O14686
GOLGB1,Q14789
CERS3,Q8IU89
PNPLA1,Q8N8W4
ABCC8,Q09428
TMEM258,P61165
ALOXE3,Q9BYJ1
EIF5A,P63241
FOXO4,P98177
SLK,Q9H2G2
SMPD3,Q9NY59
DDX39A,O00148
GNL2,Q13823
UBAP2,Q5T6F2
USP17L2,Q6R6M4
CIB1,Q99828
CREM,Q03060
CLPS,P04118
SH2D3A,Q9BRG2
ALDH3A2,P51648
AP2M1,Q96CW1
TUBB2A,Q13885
EIF2S3,P41091
EIF4A3,P38919
NUP155,O75694
RPL15,P61313
CC2D1A,Q6P1N0
PSMA1,P25786
EFTUD2,Q15029
SSR4,P51571
TPX2,Q9ULW0
BAG2,O95816
COPB1,P53618
DNAJC13,O75165
CDC5L,Q99459
GTPBP1,O00178
KLHL7,Q8IXQ5
RPN2,P04844
SMTN,P53814
IBTK,Q9P2D0
MID2,Q9UJV3
RBMS1,P29558
SCAMP2,O15127
CACYBP,Q9HB71
NOL8,Q76FK4
SMG7,Q92540
CIAPIN1,Q6FI81
DDX56,Q9NY93
QARS1,P47897
RBM19,Q9Y4C8
SUGP2,Q8IX01
AHCTF1,Q8WYP5
CMTR1,Q8N1G2
TBRG1,Q3YBR2
ZNF609,O15014
URB1,O60287
CDV3,Q9UKY7
HNRNPCL1,O60812
BBOX1,O75936
ZNF354B,Q96LW1
STX8,Q9UNK0
TPM3,P06753
CDC42BPB,Q9Y5S2
TAF4,O00268
MRPL3,P09001
SMG9,Q9H0W8
FUT9,Q9Y231
IL17RE,Q8NFR9
CYP46A1,Q9Y6A2
ARMC9,Q7Z3E5
HLA-E,P13747
IGF2BP1,Q9NZI8
FAF2,Q96CS3
CPA3,P15088
PMP22,Q01453
ASTN2,O75129
SERPINB5,P36952
COX4I2,Q96KJ9
LAG3,P18627
SEC24C,P53992
NUP133,Q8WUM0
NUP160,Q12769
MAB21L1,Q13394
AKR1C1,Q04828
ULK1,O75385
SLC52A1,Q9NWF4
BPIFA2,Q96DR5
SIAH2,O43255
CBX1,P83916
ZIC2,O95409
B3GLCT,Q6Y288
BFSP1,Q12934
CCNDBP1,O95273
DCD,P81605
CEP85,Q6P2H3
GPR37,O15354
KCNK10,P57789
ARID5A,Q03989
CCDC25,Q86WR0
SOX12,O15370
LRRC19,Q9H756
LCE3A,Q5TA76
CD22,P20273
OPN4,Q9UHM6
SIX6,O95475
VSX2,P58304
ADAMTS17,Q8TE56
CRYBB2,P43320
POU4F1,Q01851
RBPMS,Q93062
HSPB3,Q12988
POU4F2,Q12837
ZNF469,Q96JG9
ANGPTL3,Q9Y5C1
RNF8,O76064
B3GNT3,Q9Y2A9
B4GALT5,O43286
FBXW7-AS1,B0L3A2
WNT10B,O00744
CDX1,P47902
EFNA2,O43921
KCNA1,Q09470
ATXN3,P54252
KISS1R,Q969F8
SLCO1B3,Q9NPD5
LIPN,Q5VXI9
POLR3A,O14802
NAA10,P41227
KLHL3,Q9UH77
OR1F1,O43749
ZNF200,P98182
CLCN3,P51790
DDOST,P39656
GMPR,P36959
SIX2,Q9NPC8
MEMO1,Q9Y316
SLC12A8,A0AV02
NDFIP2,Q9NV92
VPS26C,O14972
PAK4,O96013
RAVER1,Q8IY67
NMNAT2,Q9BZQ4
AFAP1,Q8N556
OLFM2,O95897
NIPAL4,Q0D2K0
FSHR,P23945
NSD1,Q96L73
MDH2,P40926
DIAPH1,O60610
GPS1,Q13098
KYNU,Q16719
LRP2,P98164
TMEM70,Q9BUB7
RRM2B,Q7LG56
CCHCR1,Q8TD31
FER,P16591
KIF2C,Q99661
EPB41L3,Q9Y2J2
FLOT2,Q14254
HBE1,P02100
SH3PXD2A,Q5TCZ1
ZNF598,Q86UK7
NOX3,Q9HBY0
CLPP,Q16740
HTR1D,P28221
GDAP1,Q8TB36
SOX17,Q9H6I2
RBBP5,Q15291
CRIP1,P50238
GATM,P50440
C9,P02748
SH2D3C,Q8N5H7
IMMT,Q16891
MPIG6B,O95866
TSBP1,Q5SRN2
CYBRD1,Q53TN4
HMSD,P0C7T4
CYP11A1,P05108
RNF114,Q9Y508
DNA2,P51530
HAPLN1,P10915
KIF15,Q9NS87
OPRL1,P41146
ANKRD17,O75179
CEACAM4,O75871
ATXN7,O15265
CHRM2,P08172
CD177,Q8N6Q3
ALAS2,P22557
TCF7L2,Q9NQB0
SMAD5,Q99717
CLTCL1,P53675
CDH2,P19022
GNB1,P62873
PARP4,Q9UKK3
CWC27,Q6UX04
RAB1B,Q9H0U4
PRP4K,Q13523
C12orf43,Q96C57
COMMD3,Q9UBI1
COMMD6,Q7Z4G1
H2AJ,Q9BTM1
BCAP31,P51572
BCL2L2,Q92843
SEL1L,Q9UBV2
GKN2,Q86XP6
GUCY2D,Q02846
CEP104,O60308
TAS2R38,P59533
CHAT,P28329
BLVRB,P30043
C2CD3,Q4AC94
RPS6KA4,O75676
MDC1,Q14676
TNRC6A,Q8NDV7
FARP1,Q9Y4F1
NSUN5,Q96P11
H2BC13,Q99880
AVP,P01185
CCDC3,Q9BQI4
SPTB,P11277
NAGS,Q8N159
NTRK3,Q16288
MTA1,Q13330
DGKE,P52429
